gia_ban_trieu,dien_tich_m2,price_per_m2,width,n_bedroom,n_toilet,house_type,legal_status,quan,phuong,cluster_km,cluster_gmm,PCA1,PCA2,segment_name
3850.0,36.0,106.94444444444444,4.5,2,2,1,1,0,24,0,1,-1.5877801639830809,-0.4459342520085846,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9790.0,62.0,157.90322580645162,4.0,4,0,1,0,0,6,0,1,0.23914924223904171,-0.723575072000046,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7200.0,54.0,133.33333333333334,7.0,3,2,1,1,0,6,0,1,-0.4179503849129703,-1.066029379275446,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8500.0,83.0,102.40963855421687,7.5,3,0,1,1,0,13,0,1,-0.07753455396212314,-1.9501840366325165,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2850.0,18.0,158.33333333333334,3.0,2,1,1,1,0,5,0,1,-2.268422594846549,-0.041161853525373465,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
13000.0,120.0,108.33333333333333,5.6,5,3,1,1,0,8,1,1,2.5613816076954716,-2.7061834386775887,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
11200.0,59.4,188.55218855218857,4.2,4,4,1,1,0,17,1,1,1.306028068165322,-0.020291167278984407,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
4580.0,26.0,176.15384615384616,4.0,2,2,2,1,0,13,0,0,-0.8907029236711573,1.1290671996090724,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
11300.0,68.0,166.1764705882353,4.0,4,0,1,1,0,15,0,1,0.6275728774386368,-0.7623787927551826,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
11500.0,60.0,191.66666666666666,4.5,4,3,1,1,0,4,1,1,1.0904193934015725,-0.4499069594998435,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
4700.0,48.0,97.91666666666667,4.0,3,2,1,0,0,22,0,1,-0.8807494823953046,-0.6037061518038547,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9300.0,70.0,132.85714285714286,5.0,5,4,1,1,0,20,1,1,1.3376961840461576,-0.9419222611400591,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
10800.0,130.0,83.07692307692308,4.5,10,6,1,1,0,8,1,1,4.405372050756142,-3.3382749464306425,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
8000.0,48.9,163.59918200408998,3.2,3,3,1,1,0,17,0,1,-0.012978340477723883,-0.15234497185583287,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
11000.0,92.0,119.56521739130434,4.0,5,5,1,1,0,22,1,1,2.2107537659120533,-1.4468722833304777,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
2850.0,20.0,142.5,3.0,2,1,1,0,0,5,0,1,-2.2082850546893473,0.02111591230288457,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6400.0,40.0,160.0,5.0,3,4,1,1,0,7,0,1,-0.3426383596787072,-0.2896164325136451,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6400.0,72.0,88.88888888888889,7.0,6,6,1,1,0,14,1,1,1.3960786777309178,-1.7164549450457183,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
5959.0,34.0,175.26470588235293,3.0,2,2,1,1,0,4,0,1,-1.1974771609552428,-0.11085843136702929,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3680.0,18.0,204.44444444444446,4.0,2,0,1,1,0,16,0,1,-2.0931412173000328,0.870136824343414,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5980.0,32.0,186.875,4.0,3,3,1,1,0,17,0,1,-0.6018017869329733,0.4953349992735566,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7000.0,30.0,233.33333333333334,5.0,5,4,2,1,0,4,1,0,1.0136764875858784,1.494837288748833,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
8000.0,63.6,125.78616352201257,5.2,5,4,1,1,0,5,1,1,0.864578745643499,-1.3814820102446583,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
3980.0,17.0,234.11764705882354,3.5,2,3,1,1,0,10,0,1,-1.4298039167429613,1.2545302869726358,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4680.0,35.0,133.71428571428572,5.0,2,2,1,1,0,5,0,1,-1.5187484030862428,-0.6623758353289291,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3900.0,20.0,195.0,3.8,2,2,1,1,0,6,0,1,-1.734023823542509,0.4930145455391693,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6250.0,27.0,231.4814814814815,4.0,3,4,1,1,0,2,0,1,-0.4241148701316572,0.7746350720431556,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7300.0,54.0,135.1851851851852,6.0,3,3,1,1,0,16,0,1,-0.12976842804043287,-0.6740655169219268,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6190.0,50.0,123.8,4.2,2,2,1,1,0,23,0,1,-0.8784245400638226,-0.5293754059334208,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7890.0,56.0,140.89285714285714,4.0,2,2,1,1,0,6,0,1,-0.5457310365803988,-0.9510982137033405,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7790.0,78.0,99.87179487179488,6.0,2,2,1,1,0,7,0,1,-0.26350781961748054,-1.9199927778551524,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5500.0,44.0,125.0,3.6,2,2,1,1,0,15,0,1,-1.1643193455590148,-0.643524865668696,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2750.0,14.0,196.42857142857142,3.6,2,2,1,1,0,17,0,1,-1.958335312772502,0.9762803506332793,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5650.0,32.0,176.5625,4.0,2,0,1,1,0,10,0,1,-1.6263598366399739,0.030311902144221466,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4700.0,24.0,195.83333333333334,4.0,2,0,1,1,0,4,0,1,-1.9212321834135326,0.25938204751676064,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6500.0,46.0,141.30434782608697,4.0,3,3,1,0,0,4,0,1,-0.41389272409002553,-0.4908928771428068,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5000.0,35.0,142.85714285714286,4.0,5,0,1,0,0,8,0,1,-0.8143266814607087,-0.3749921298688972,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,38.7,140.8268733850129,3.95,2,2,1,1,0,14,0,1,-1.2305821834428612,-0.3560501886191268,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7000.0,52.0,134.6153846153846,4.0,7,6,2,1,0,24,1,0,2.2589706652135177,0.36375671048846175,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
10800.0,105.0,102.85714285714286,4.0,6,5,1,1,0,17,1,1,2.6414878934249537,-2.1407871343031,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
11900.0,90.0,132.22222222222223,5.0,3,3,1,1,0,5,1,1,1.2453874841187953,-1.7763549033663515,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
6868.0,35.5,193.46478873239437,3.6,5,3,1,1,0,4,0,1,0.15078007870673427,0.01182733275418359,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2750.0,14.0,196.42857142857142,4.0,2,2,1,1,0,17,0,1,-1.9580827424057332,0.9756675767185081,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4700.0,53.0,88.67924528301887,4.0,3,2,1,1,0,22,0,1,-0.8872065513093751,-1.1437418938903265,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7500.0,68.0,110.29411764705883,5.0,3,4,1,1,0,16,0,1,0.2854438952295428,-1.2386432846495812,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9500.0,80.0,118.75,5.0,3,4,1,1,0,24,1,1,0.9376414471291211,-1.1125418134088194,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
9600.0,60.0,160.0,6.0,3,4,1,1,0,17,1,1,0.6529296276277003,-0.37436907613450854,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7600.0,42.2,180.09478672985782,2.6,3,2,1,1,0,5,0,1,-0.43672101230704147,-0.22385412173333494,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10800.0,60.0,180.0,4.0,5,5,1,1,0,10,1,1,1.6699277306656493,-0.36403439677208455,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
3980.0,20.0,199.0,4.0,3,0,1,1,0,5,0,1,-1.7969775538598567,0.36444638441929134,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3900.0,22.0,177.27272727272728,4.0,2,0,1,1,0,13,0,1,-2.0886805364170407,0.33207456964684534,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3980.0,20.0,199.0,4.0,2,0,1,0,0,24,0,1,-1.8909915971860265,1.323399583780468,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3980.0,19.0,209.47368421052633,4.0,2,3,1,1,0,24,0,1,-1.3688881292210824,1.323273065792574,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10290.0,55.0,187.0909090909091,4.1,5,0,1,0,0,4,0,1,0.5730510587330367,-0.29986914060695913,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4000.0,30.0,133.33333333333334,4.0,3,4,1,1,0,4,0,1,-1.046705993857222,-0.5426583851000439,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
15000.0,64.0,234.375,4.2,5,4,1,1,0,16,1,1,2.4784933804599545,0.43174000475044927,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
3550.0,20.0,177.5,4.0,2,3,1,1,0,6,0,1,-1.655735463174045,0.30910908406681986,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,40.0,136.25,3.0,2,0,1,1,0,8,0,1,-1.6513850386158395,-0.7334157387890443,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7900.0,52.0,151.92307692307693,3.55,2,2,1,1,0,6,0,1,-0.5856366530099537,-0.7214033346975891,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6950.0,33.0,210.6060606060606,4.6,3,0,1,0,0,24,0,1,-0.7993354776172269,1.1745806132687069,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8450.0,55.0,153.63636363636363,5.7,4,5,1,1,0,2,1,1,0.7320377538908145,-0.8281854837222392,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
3980.0,20.0,199.0,4.0,2,0,1,1,0,10,0,1,-2.0653823483406146,0.5692337073075586,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
18000.0,110.0,163.63636363636363,5.5,3,0,1,1,0,5,1,1,2.17658890429723,-1.8989344127139571,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
14500.0,64.0,226.5625,4.0,6,0,2,1,0,20,1,0,2.5526340373598395,0.9866848013552223,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
6800.0,41.3,164.6489104116223,4.0,3,3,1,1,0,23,0,1,-0.3133316797643305,0.19981871240779583,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8200.0,45.0,182.22222222222223,5.0,3,3,1,1,0,10,0,1,-0.04393055018990765,-0.04582984299204613,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2700.0,31.0,87.09677419354838,2.0,1,1,1,1,0,15,0,1,-2.5062602349911827,-0.8953083466755152,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6500.0,53.0,122.64150943396227,3.0,1,1,1,1,0,20,0,1,-1.2930628609609172,-0.7009409035412391,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5800.0,31.0,187.09677419354838,4.1,3,3,1,1,0,4,0,1,-0.7448757322565324,0.10978008290968645,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10100.0,40.0,252.5,4.0,4,0,1,1,0,20,0,1,0.2023888963415538,1.115066661718257,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7600.0,43.0,176.74418604651163,4.0,3,3,1,1,0,5,0,1,-0.2378318741289088,-0.23569833381311814,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3800.0,19.0,200.0,4.0,1,0,2,1,0,7,0,0,-1.814595984660876,1.3444698797963321,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10000.0,52.0,192.30769230769232,4.25,4,0,2,1,0,4,1,0,0.7296205713901628,0.35148087417393226,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
11800.0,87.0,135.632183908046,4.0,3,5,1,1,0,23,1,1,1.6988271845172427,-1.0004876781718388,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
9300.0,60.0,155.0,5.0,4,4,1,1,0,24,1,1,0.9412568371456514,-0.26868246537510054,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
2900.0,32.0,90.625,3.0,2,0,1,1,0,19,0,1,-2.3011052847920115,-0.8430310126953366,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2350.0,15.0,156.66666666666666,3.0,2,2,1,1,0,4,0,1,-2.2293347835093864,0.01607118751345184,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3800.0,19.0,200.0,3.3,1,2,2,1,0,7,0,0,-1.4281672370103582,1.44831400947591,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7880.0,50.0,157.6,4.0,4,4,1,1,0,4,0,1,0.37291135611051834,-0.6611429329849614,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7590.0,67.0,113.28358208955224,5.2,4,3,1,1,0,5,0,1,0.3225360083917815,-1.6228559436167391,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
19500.0,80.0,243.75,4.0,4,0,1,1,0,14,1,0,2.4796640136665276,0.025597688417302214,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7650.0,40.0,191.25,5.0,3,4,1,1,0,4,0,1,-0.05349590167994382,0.03793117466604592,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7400.0,45.0,164.44444444444446,5.0,3,4,1,1,0,14,0,1,-0.013280882099216712,-0.10908095573123153,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
16000.0,125.0,128.0,6.0,5,5,2,1,0,6,1,0,4.221376918494254,-1.7074331103067808,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7900.0,52.0,151.92307692307693,3.6,2,2,1,1,0,6,0,1,-0.5856050817141075,-0.7214799314369355,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
15999.0,64.0,249.984375,4.0,4,0,1,0,0,22,1,1,1.7345261015466227,0.9892294611421266,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7500.0,47.0,159.5744680851064,3.8,7,0,1,0,0,20,0,1,0.5868868573087537,-0.10653765062410081,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4590.0,25.0,183.6,3.0,2,0,1,1,0,8,0,1,-1.9315493355375595,0.20228944480684063,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7600.0,41.0,185.3658536585366,3.7,2,0,1,0,0,11,0,1,-1.0173480167622146,0.31738958870734624,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
11900.0,81.0,146.91358024691357,4.06,3,0,1,1,0,20,0,1,0.6477937412122615,-1.0782273384237417,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5350.0,38.8,137.88659793814435,3.3,2,2,1,1,0,22,0,1,-1.1972887134611945,-0.14554272396681597,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6000.0,56.0,107.14285714285714,4.2,2,2,1,1,0,5,0,1,-0.9794439419308947,-1.4401106219059359,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
11980.0,79.0,151.64556962025316,7.7,7,6,2,1,0,5,1,0,3.534415368760476,-0.5448889590353944,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7800.0,46.0,169.56521739130434,3.8,3,3,1,1,0,14,0,1,-0.10449524756580336,-0.10926059340105801,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
2340.0,12.5,187.2,4.0,2,2,1,1,0,4,0,1,-2.179970362675599,0.4734314083496499,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3940.0,22.8,172.80701754385964,4.0,2,2,1,1,0,5,0,1,-1.7521865003662203,0.10782611410074694,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
12000.0,110.0,109.0909090909091,5.6,4,3,1,1,0,16,1,1,1.9568995129599938,-2.196455128849509,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
6480.0,60.0,108.0,3.5,3,2,1,1,0,10,0,1,-0.4785537140982377,-1.3983885959265625,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5200.0,35.0,148.57142857142858,2.1,5,4,1,1,0,15,0,1,-0.011676816230806396,-0.18435405626989546,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9990.0,115.0,86.8695652173913,11.5,10,6,1,1,0,16,1,0,4.055653082827207,-2.7438693345824823,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
5000.0,40.0,125.0,3.0,2,0,1,1,0,8,0,1,-1.7633165169341591,-0.8852412257739533,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
1900.0,16.2,117.28395061728395,2.7,2,3,1,1,0,6,0,1,-2.2011576328554523,-0.4214466945698789,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7600.0,43.0,176.74418604651163,3.0,3,3,1,1,0,5,0,1,-0.23846330004583124,-0.23416639902619,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4950.0,25.0,198.0,4.0,2,0,1,0,0,4,0,1,-1.7802388837485574,0.5833876932692806,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
13400.0,73.6,182.06521739130437,4.6,8,6,1,1,0,17,1,1,3.533799508195434,-0.47826097133067735,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7990.0,64.0,124.84375,4.0,5,0,1,1,0,8,0,1,0.1148248191944182,-1.511782781418035,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4750.0,54.0,87.96296296296296,4.0,3,0,1,1,0,6,0,1,-1.364914250380892,-1.7786617000202405,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,36.0,151.38888888888889,4.0,3,0,1,1,0,8,0,1,-1.3741053877269398,-0.4988892350837349,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8950.0,82.0,109.14634146341463,4.0,4,0,1,1,0,12,0,1,0.2958580288925814,-1.9120920477288115,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5950.0,40.0,148.75,4.0,3,0,1,1,0,13,0,1,-1.1853861252833153,-0.4570738220345252,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9995.0,69.0,144.85507246376812,4.0,4,0,1,1,0,4,0,1,0.27878541722621214,-1.417423803910607,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10190.0,50.0,203.8,4.0,2,3,1,1,0,16,0,1,0.19452242445346823,0.3849039126557212,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10500.0,105.0,100.0,4.0,7,0,1,1,0,10,1,1,1.8685474409831255,-2.7044863638012457,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
8999.0,74.0,121.60810810810811,4.0,4,0,1,1,0,16,0,1,0.21957620625790286,-1.4566327140105602,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9900.0,70.0,141.42857142857142,4.0,10,0,1,1,0,23,1,1,2.2371237430575985,-1.174215771806259,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7800.0,75.0,104.0,4.0,4,0,1,1,0,6,0,1,-0.09215702093893867,-2.0303124003682083,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7900.0,52.0,151.92307692307693,4.0,4,0,1,1,0,6,0,1,-0.3628192844859196,-0.9204729375660421,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3990.0,20.0,199.5,3.8,2,2,1,1,0,24,0,1,-1.5737122277707174,1.1185783901032362,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4350.0,20.0,217.5,5.0,3,4,1,1,0,12,0,1,-0.849928224479028,1.0366470068173281,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5350.0,40.0,133.75,3.3,2,2,1,1,0,22,0,1,-1.1875663897277422,-0.2252898765568548,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6990.0,57.0,122.63157894736842,3.8,7,0,1,1,0,23,0,1,0.52321540970604,-1.0262670525260278,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5390.0,40.0,134.75,4.0,3,3,1,1,0,2,0,1,-0.8242263350079507,-0.8372173506248953,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3980.0,19.0,209.47368421052633,3.8,2,3,1,1,0,24,0,1,-1.369014414404467,1.3235794527499596,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5980.0,28.0,213.57142857142858,4.8,3,0,1,0,0,17,0,1,-1.0996291643593918,1.092834379692795,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10800.0,88.0,122.72727272727273,8.0,9,6,1,1,0,6,1,1,3.409073006968365,-1.9720015562444801,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7000.0,63.0,111.11111111111111,4.2,4,4,1,1,0,23,0,1,0.46294205103723773,-0.9542157177918762,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7800.0,46.0,169.56521739130434,4.0,3,3,1,1,0,14,0,1,-0.10436896238241887,-0.10956698035844362,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9400.0,75.0,125.33333333333333,4.0,4,4,2,1,0,4,1,0,1.628372723562988,-0.8086510242031811,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
5100.0,57.0,89.47368421052632,4.0,3,0,1,1,0,7,0,1,-1.236287698210933,-1.7871014073560574,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4950.0,58.0,85.34482758620689,4.0,1,0,1,1,0,17,0,1,-1.7924116953907208,-1.453599154230762,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5500.0,32.4,169.7530864197531,4.0,2,0,1,1,0,22,0,1,-1.5787354326107619,0.3074286264210454,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5680.0,30.0,189.33333333333334,4.0,4,0,1,1,0,17,0,1,-0.9583505112739742,0.36600258845170996,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5580.0,60.0,93.0,4.0,2,0,1,1,0,19,0,1,-1.304154046365803,-1.3750048236292114,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8800.0,85.0,103.52941176470588,4.0,3,0,1,1,0,17,0,1,0.04177585770679766,-1.8440623912265457,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7500.0,54.0,138.88888888888889,4.0,7,6,1,1,0,13,1,1,1.6918717214161754,-0.7520910527708724,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
4860.0,37.0,131.35135135135135,4.0,2,0,1,1,0,4,0,1,-1.8524323100797835,-0.8667745820968513,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6350.0,72.0,88.19444444444444,4.0,5,0,1,1,0,22,0,1,-0.02369968856784349,-1.7306446604439156,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4450.0,37.0,120.27027027027027,4.0,2,0,1,1,0,5,0,1,-1.9498348113069834,-0.9848109494910068,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,60.0,90.83333333333333,4.0,2,2,1,1,0,14,0,1,-0.9824229075261017,-1.4586036947962389,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4700.0,52.6,89.35361216730038,4.0,2,2,1,1,0,22,0,1,-1.1974210586143466,-1.0787672661600372,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5200.0,43.0,120.93023255813954,3.5,2,2,1,1,0,13,0,1,-1.2616788875125389,-0.7411521545780638,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,34.5,157.97101449275362,3.0,2,2,1,1,0,15,0,1,-1.2493537228782665,-0.008465257481670012,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
